scenario,category,testName,userPrompt,Assert1,Assert2,Assert3,Assert4,Assert5,Assert6,Assert7,Assert8,Assert9,tags,relativeFilePathFromEvals
EventsWebPart,core,Add events for this quarter,Add Events web part titled 'Quarterly Events' showing events for this quarter in compact layout,Page should contain exactly 1 Events web part,Page should contain exactly 1 Events web part,Page should contain exactly 1 Events web part,Events web part should have Compact layout,,,,,,SharePointPage webpart EventsWebPart,webparts/Events/events-core-tests.json
EventsWebPart,core,Add events with custom date range,"Add Events web part showing events from December 1, 2025 to December 31, 2025 in filmstrip layout",Page should contain exactly 1 Events web part,Page should contain exactly 1 Events web part,Page should contain exactly 1 Events web part,Page should contain exactly 1 Events web part,Events web part should have Filmstrip layout,,,,,SharePointPage webpart EventsWebPart,webparts/Events/events-core-tests.json
EventsWebPart,core,Add events with custom date range and title,"Add Events web part titled 'Holiday Season Events' showing events between December 15, 2025 and January 5, 2026 in compact layout",Page should contain exactly 1 Events web part,Page should contain exactly 1 Events web part,Page should contain exactly 1 Events web part,Page should contain exactly 1 Events web part,Page should contain exactly 1 Events web part,Events web part should have Compact layout,,,,SharePointPage webpart EventsWebPart,webparts/Events/events-core-tests.json
EventsWebPart,type2,Add upcoming events to selected section,Add upcoming events,Page should contain exactly 1 Events web part,,,,,,,,,SharePointPage webpart EventsWebPart,webparts/Events/events-type-2-tests.json
EventsWebPart,type2,Add upcoming events to populated page,Add upcoming events,Page should contain exactly 1 Events web part,,,,,,,,,SharePointPage webpart EventsWebPart,webparts/Events/events-type-2-tests.json
EventsWebPart,type2,Add upcoming events to blank page,Add upcoming events,Page should contain exactly 1 Events web part,,,,,,,,,SharePointPage webpart EventsWebPart,webparts/Events/events-type-2-tests.json
FaqWebPart,core,Add empty FAQ web part,Add an empty FAQ web part to the page.,Page should contain at least 1 FAQ web part,,,,,,,,,SharePointPage webpart FaqWebPart,webparts/FAQ/faq-core-tests.json
FaqWebPart,core,Delete FAQ Web part,Delete all FAQ web parts that have only a title and no categories.,Page should not contain any FAQ web part with only a title,,,,,,,,,SharePointPage webpart FaqWebPart,webparts/FAQ/faq-core-tests.json
FaqWebPart,core,Generate FAQ with five categories,Create an FAQ web part titled 'Security Baseline FAQ' and make sure it includes at least five concise categories so readers can browse different topics.,Page should contain at least 1 FAQ web part,FAQ title should match request,FAQ should have at least five categories,FAQ should end in Completed state,,,,,,SharePointPage webpart FaqWebPart,webparts/FAQ/faq-core-tests.json
FaqWebPart,type1,Add FAQ with 3 categories and completed configuration,"Add an FAQ web part titled 'Copilot Adoption FAQ' and complete configuring with 3 categories 'Getting Started', 'Training & Best Practices' and 'Security & Compliance'.",Page must contain exactly 1 FAQ web part,"The FAQ web part title must be ""Copilot Adoption FAQ""
","The FAQ must have configuration state set to Completed
","The FAQ must include a category titled ""Getting Started""","The ""Getting Started"" category must include at least 1 Q&A entry
","The FAQ must include a category titled ""Training & Best Practices""
","The ""Training & Best Practices"" category must include at least 1 Q&A entry
","The FAQ must include a category titled ""Security & Compliance""","The ""Security & Compliance"" category must include at least 1 Q&A entry

",SharePointPage webpart FaqWebPart,webparts/FAQ/faq-type-1-tests.json
FaqWebPart,type1,Add Support category with multiple Q&A,"In the existing FAQ, add a new category titled 'Support' with at least three question and answer pairs covering help desk channels and response times.",Page must contain exactly 1 FAQ web part,"The FAQ must include a category titled ""Support""","The ""Support"" category must include at least 3 Q&A entries","The 3 Q&A issues for the ""Support"" category must include info on help desk channels and response times.",,,,,,SharePointPage webpart FaqWebPart,webparts/FAQ/faq-type-1-tests.json
FaqWebPart,type1,Attach additional EU compliance source file,Attach the file named 'EU compliance addendum.docx' hosted at https://contoso.sharepoint.com/sites/Compliance/Shared%20Documents/EU%20compliance%20addendum.docx to the FAQ sources and leave the FAQ in the Completed state.,Page should contain at least 1 FAQ web part,"The FAQ must include a source file named ""EU compliance addendum.docx""
",The source file URL must match the provided link,The FAQ must remain in the Completed configuration state after the update,,,,,,SharePointPage webpart FaqWebPart,webparts/FAQ/faq-type-1-tests.json
HeroWebPart,core,Add hero web part,Add Hero web part to the page,Page should contain exactly 1 Hero web part,Hero web part should have content configured,Hero web part should have layout configured,,,,,,,SharePointPage webpart HeroWebPart,webparts/Hero/hero-core-tests.json
HeroWebPart,core,Add hero with single item in carousel layout,Add Hero web part with carousel layout featuring 'Our Services' linking to https://contoso.foo.com/services with description 'Explore our comprehensive range of solutions',Page should contain exactly 1 Hero web part,Hero web part should have Carousel layout,Hero web part should contain item 'Our Services',Hero web part should have description 'Explore our comprehensive range of solutions',,,,,,SharePointPage webpart HeroWebPart,webparts/Hero/hero-core-tests.json
HeroWebPart,core,Add hero with tile layout and multiple items,"Add Hero web part with tile layout featuring three items: 'Products' -> https://contoso.foo.com/products with description 'View our product catalog', 'Support' -> https://contoso.foo.com/support with description 'Get help from our team', and 'Training' -> https://contoso.foo.com/training with description 'Learn at your own pace'",Page should contain exactly 1 Hero web part,Hero web part should have Tiles layout,Hero web part should contain item 'Products',Hero web part should contain item 'Support',Hero web part should contain item 'Training',,,,,SharePointPage webpart HeroWebPart,webparts/Hero/hero-core-tests.json
HeroWebPart,core,Add hero with stack layout,Add Hero web part with stack layout featuring 'Company News' linking to https://contoso.foo.com/news with description 'Stay updated with the latest announcements',Page should contain exactly 1 Hero web part,Hero web part should have Layers layout,Hero web part should contain item 'Company News',,,,,,,SharePointPage webpart HeroWebPart,webparts/Hero/hero-core-tests.json
HeroWebPart,core,Add hero with call to action text,Add Hero web part with carousel layout featuring 'Get Started' linking to https://contoso.foo.com/start with description 'Begin your journey with us' and call to action text 'Start Now',Page should contain exactly 1 Hero web part,Hero web part should have Carousel layout,Hero web part should contain item 'Get Started',Hero web part should have expected content item,,,,,,SharePointPage webpart HeroWebPart,webparts/Hero/hero-core-tests.json
